date,year,price,price_log,USD_balance_ETF_log,short_term_predicted_price_log,predicted_price,btc_premium_rate
2024-05-22,2024,69151.5,11.144055028831607,23.31324546105619,11.129182651598626,68130.66276034364,0.014872377232981293
2024-05-23,2024,67665.5,11.12233172782787,23.321307700946136,11.129182651598626,68130.66276034364,-0.006850923770755912
2024-05-24,2024,68814.5,11.139169757529501,23.33988034272618,11.139738925912427,68853.67818612157,-0.0005691683829258665
2024-05-25,2024,69183.0,11.144510446685352,23.33988034272618,11.139738925912427,68853.67818612157,0.004771520772925086
2024-05-26,2024,68661.5,11.136943913554287,23.33988034272618,11.139738925912427,68853.67818612157,-0.00279501235814017
2024-05-27,2024,69628.5,11.150929245265946,23.33988034272618,11.139738925912427,68853.67818612157,0.011190319353518774
2024-05-28,2024,68646.5,11.136725426648066,23.343162190506153,11.134170874973975,68471.36276230798,0.0025545516740912433
2024-05-29,2024,67740.5,11.123439507507793,23.345220605090518,11.128723648126464,68099.39772550462,-0.005284140618670108
2024-05-30,2024,68366.5,11.132638217554188,23.348760175044056,11.124446329498712,67808.73697055281,0.008191888055476326
2024-05-31,2024,67610.5,11.121518575413095,23.352287260618485,11.124595650888086,67818.86302136813,-0.00307707547499092
2024-06-01,2024,67808.5,11.124442834802048,23.352287260618485,11.124595650888086,67818.86302136813,-0.00015281608603778807
2024-06-02,2024,67911.5,11.125960665921623,23.352287260618485,11.124595650888086,67818.86302136813,0.0013650150335369204
2024-06-03,2024,69117.5,11.143563233842343,23.35984151838993,11.135051828442732,68531.70942424171,0.00851140539961115
2024-06-04,2024,70569.5,11.164353318806109,23.421393640138657,11.130631804894342,68229.46610812972,0.033721513911766365
2024-06-05,2024,71211.5,11.173409601211556,23.45372963288552,11.147386496967776,69382.26019050147,0.026023104243780182
2024-06-06,2024,70821.5,11.16791790589909,23.46782152986093,11.130090481419343,68192.54189131303,0.03782742447974741
2024-06-07,2024,69443.5,11.148268751289839,23.4762065449368,11.142032660475964,69011.79151328307,0.006236090813874995
2024-06-08,2024,69344.5,11.146842114739256,23.4762065449368,11.142032660475964,69011.79151328307,0.0048094542632917126
2024-06-09,2024,69640.5,11.151101573638085,23.4762065449368,11.142032660475964,69011.79151328307,0.009068913162121106
2024-06-10,2024,69418.5,11.147908681576451,23.472061229619605,11.14710321105623,69362.60795741006,0.0008054705202216184
2024-06-11,2024,67361.5,11.117828917076823,23.45915167364302,11.068805874691682,64138.871238584856,0.04902304238514077
2024-06-12,2024,68268.5,11.131203738587528,23.46566593364759,11.02320337742722,61279.6674351236,0.10800036116030753
2024-06-13,2024,66981.5,11.112171740842136,23.450987937846087,11.124116110027385,67786.34890197062,-0.011944369185249215
2024-06-14,2024,65992.5,11.097296378187826,23.43849686078451,11.094787923043715,65827.16822426765,0.0025084551441114655
2024-06-15,2024,66139.5,11.099521426785406,23.43849686078451,11.094787923043715,65827.16822426765,0.004733503741691791
2024-06-16,2024,66694.5,11.10787776973319,23.43849686078451,11.094787923043715,65827.16822426765,0.013089846689474882
2024-06-17,2024,66678.5,11.107637841110803,23.42879285750418,11.025606001642506,61427.07646134471,0.0820318394682964
2024-06-18,2024,65368.0,11.087788121064543,23.418554960746008,11.086903457792243,65310.19690312453,0.0008846632723003012
2024-06-19,2024,65021.5,11.082473263416462,23.418554960746008,11.086903457792243,65310.19690312453,-0.004430194375780516
2024-06-20,2024,65120.5,11.083994678779623,23.409063612445483,11.04723668686874,62770.26084486504,0.0367579919108838
2024-06-21,2024,64277.5,11.070964926749136,23.401818567259596,11.066347746420464,63981.40328341575,0.004617180328672532
2024-06-22,2024,64396.5,11.072814562789462,23.401818567259596,11.066347746420464,63981.40328341575,0.006466816368998707
